"","Dist_effect","p_dist","HP_BirthRate","HP_CalfSurv","HP_AdSurv","GS_BirthRate","GS_CalfSurv","GS_AdSurv"
"1","1",0.05,0,0,0,0,0,0
"2","2",0.05,0,0,0,0,0,0
"3","4",0.05,0,0,0,0,0,0
"4","6",0.05,0,0,0,0,0,0
"5","8",0.05,0,2.3748203381103,0.0177600177600178,0,0,0
"6","12",0.05,0,3.46353050186874,0.240870240870241,0,0,0
"7","1",0.1,0,0,0,0,0,0
"8","2",0.1,0,0,0,0,0,0
"9","4",0.1,0,0,0,0,0,0
"10","6",0.1,0,3.05701830255551,0,0,0,0
"11","8",0.1,0,3.94083944455004,0.0638250638250638,0,0,0
"12","12",0.1,0,5.31059636051326,0.59052059052059,-2.0302239562718,4.91616405978046,0
"13","1",0.2,0,0,0,0,0,0
"14","2",0.2,0,0,0,0,0,0
"15","4",0.2,0,3.46373732866383,0,0,0,0
"16","6",0.2,0,4.67884202301625,0,0,4.82133211108662,0
"17","8",0.2,0,5.57617840662403,0.189255189255189,-2.48133056201517,6.42139201556772,0
"18","12",0.2,-6.63736028402542,10.1814727415806,1.89310689310689,-4.43141985286357,8.43460793347636,1.16550116550117
"19","1",0.4,0,0,0,0,0,0
"20","2",0.4,0,0,0,0,0,0
"21","4",0.4,0,4.8296886044485,0,-2.31971342519743,6.41564377694745,0
"22","6",0.4,-5.7461823274398,7.00757556381186,0,-3.64263871263132,8.75172261077833,0.617160617160617
"23","8",0.4,-8.52448265389394,10.9747992433238,0.44011544011544,-5.37511667250845,10.1762301481126,2.22444222444222
"24","12",0.4,-14.1926222205548,24.931084686727,12.6273726273726,-9.64886720268022,8.69248958244985,10.2097902097902
"25","1",0.6,0,0,0,0,0,0
"26","2",0.6,0,4.01341250958349,0,0,5.06764532828962,0
"27","4",0.6,0,5.83772064503483,0,-3.60333516530639,9.18177123013266,0
"28","6",0.6,-9.23187948915201,10.560508858334,0,-5.65740867488695,11.1533090112529,2.53579753579754
"29","8",0.6,-12.5115859121811,18.1563133372481,1.96803196803197,-8.50906522983832,9.93345942886585,7.71728271728272
"30","12",0.6,-18.5103911376091,36.9764937466032,28.8544788544789,-15.099144151722,7.71033117115206,25.4245754245754
"31","1",0.8,0,0,0,0,0,0
"32","2",0.8,0,4.7118297111548,0,-2.08413388811776,6.19678861105912,0
"33","4",0.8,-7.40359838050856,7.50186799781436,0,-4.96964163049913,10.6364572604713,1.53735153735154
"34","6",0.8,-11.4843498490527,14.5855675619216,0.0777000777000777,-7.84147607254646,10.3959153459633,6.6000666000666
"35","8",0.8,-16.1480792635081,25.5064779445516,9.00710400710401,-11.538868035152,8.09382702022289,15.8169608169608
"36","12",0.8,-17.7811102205279,44.4220567574314,51.3769563769564,-21.2464978462399,3.97282369026477,46.3425463425463
"37","1",1,0,2.94461651623589,0,0,4.19846919474432,0
"38","2",1,0,4.87685621524421,0,-2.67645370890723,7.47033812252408,0
"39","4",1,-9.59426487507601,9.70512001735458,0,-6.38339081056542,11.1921383645395,3.50926850926851
"40","6",1,-14.0938577425799,18.2806567773824,0.756465756465756,-10.0453738521031,8.7656658413663,11.996891996892
"41","8",1,-19.0096150355337,30.6981942280295,13.2467532467532,-14.7552087087788,7.72151013633802,25.1803751803752
"42","12",1,-13.6190114332496,48.341147981419,67.4847374847375,-28.9906923938425,9.83807819399831,51.0966810966811
